gene,freq,component,cell,role
STAT1,101,transfactor,M1 macrophages,Immunostimulatory
RELA,97,transfactor,M1 macrophages,Immunostimulatory
IRF5,97,transfactor,M1 macrophages,Immunostimulatory
IL10,98,secreted,M2 macrophages,Immunosuppressive
CCL17,63,secreted,M2 macrophages,Immunosuppressive
CCL22,93,secreted,M2 macrophages,Immunosuppressive
VEGFA,66,secreted,M2 macrophages,Immunosuppressive
MMP9,81,secreted,M2 macrophages,Immunosuppressive
ARG1,50,secreted,M2 macrophages,Immunosuppressive
MRC1,101,surface,M2 macrophages,Immunosuppressive
CD163,101,surface,M2 macrophages,Immunosuppressive
CD274,75,surface,M2 macrophages,Immunosuppressive
CLEC10A,73,surface,M2 macrophages,Immunosuppressive
STAT6,101,transfactor,M2 macrophages,Immunosuppressive
PPARG,101,transfactor,M2 macrophages,Immunosuppressive
KLF4,69,transfactor,M2 macrophages,Immunosuppressive
CEBPB,53,transfactor,M2 macrophages,Immunosuppressive
IRF4,70,transfactor,M2 macrophages,Immunosuppressive
IL10,84,secreted,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
TGFB1,86,secreted,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
ARG1,71,secreted,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
CCL2,58,secreted,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
ITGAM,101,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
CD33,83,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
HLA-DRA,61,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
CD274,91,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
CD14,57,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
STAT3,101,transfactor,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
RELB,58,transfactor,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
IRF8,89,transfactor,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
CEBPB,53,transfactor,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
IFNG,101,secreted,NK cells,Immunostimulatory
TNF,101,secreted,NK cells,Immunostimulatory
GZMB,54,secreted,NK cells,Immunostimulatory
CCL5,81,secreted,NK cells,Immunostimulatory
KLRK1,93,surface,NK cells,Immunostimulatory
NCAM1,101,surface,NK cells,Immunostimulatory
FCGR3A,100,surface,NK cells,Immunostimulatory
NCR1,61,surface,NK cells,Immunostimulatory
KLRD1,54,surface,NK cells,Immunostimulatory
EOMES,99,transfactor,NK cells,Immunostimulatory
TBX21,64,transfactor,NK cells,Immunostimulatory
RUNX3,80,transfactor,NK cells,Immunostimulatory
IL10,83,secreted,Regulatory T cells (Tregs),Immunosuppressive
TGFB1,82,secreted,Regulatory T cells (Tregs),Immunosuppressive
IL2RA,101,surface,Regulatory T cells (Tregs),Immunosuppressive
CTLA4,59,surface,Regulatory T cells (Tregs),Immunosuppressive
FOXP3,99,surface,Regulatory T cells (Tregs),Immunosuppressive
TNFRSF18,60,surface,Regulatory T cells (Tregs),Immunosuppressive
FOXP3,100,transfactor,Regulatory T cells (Tregs),Immunosuppressive
RORC,67,transfactor,Regulatory T cells (Tregs),Immunosuppressive
IFNG,101,secreted,Th1 cells,Immunostimulatory
TNF,101,secreted,Th1 cells,Immunostimulatory
IL2,100,secreted,Th1 cells,Immunostimulatory
CCL5,70,secreted,Th1 cells,Immunostimulatory
CD4,101,surface,Th1 cells,Immunostimulatory
CXCR3,91,surface,Th1 cells,Immunostimulatory
PDCD1,97,surface,Th1 cells,Immunostimulatory
LAG3,64,surface,Th1 cells,Immunostimulatory
TBX21,70,transfactor,Th1 cells,Immunostimulatory
STAT4,101,transfactor,Th1 cells,Immunostimulatory
HLA-DRB1,88,surface,M1 macrophages,Immunostimulatory
RELB,97,transfactor,M1 macrophages,Immunostimulatory
RELA,58,transfactor,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
HLA-DRB1,61,surface,Myeloid-Derived Suppressor Cells (MDSC),Immunosuppressive
